maze_type,pop_size,metric,algo_a,algo_b,u,p_raw,p_holm,rank_biserial,n_a,n_b,note
Sudden Wall,50,iterations,PSO,ACO,6283.5,0.001718564015759275,0.0042872071383184066,0.25669999999999993,100,100,
Sudden Wall,50,diversity_floor,GA,PSO,117.0,8.254406745901642e-33,1.4857932142622955e-31,-0.9766,100,100,
Sudden Wall,50,diversity_floor,GA,ACO,174.0,4.354156957445787e-32,7.4020668276578375e-31,-0.9652000000000001,100,100,
Sudden Wall,50,diversity_floor,PSO,ACO,6208.0,0.003170629468399001,0.015853147341995003,0.24160000000000004,100,100,
Sudden Wall,50,mean_entropy,GA,PSO,1273.0,8.603731378883633e-20,4.301865689441816e-19,-0.7454000000000001,100,100,
Sudden Wall,50,mean_entropy,GA,ACO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Sudden Wall,50,mean_entropy,PSO,ACO,1008.0,1.7947264204696674e-22,1.2563084943287671e-21,-0.7984,100,100,
Sudden Wall,50,path_optimality,GA,PSO,2350.0,1.0,1.0,0.0,47,100,
Sudden Wall,50,path_optimality,GA,ACO,2350.0,1.0,1.0,0.0,47,100,
Sudden Wall,50,path_optimality,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Sudden Wall,50,time_to_half_entropy,GA,PSO,,,,,52,2,insufficient n
Sudden Wall,50,time_to_half_entropy,GA,ACO,,,,,52,1,insufficient n
Sudden Wall,50,time_to_half_entropy,PSO,ACO,,,,,2,1,insufficient n
Sudden Wall,150,success_overall,GA,PSO,3250.0,8.29070456858138e-11,1.4094197766588346e-09,-0.35,100,100,
Sudden Wall,150,success_overall,GA,ACO,3250.0,8.29070456858138e-11,1.4094197766588346e-09,-0.35,100,100,
Sudden Wall,150,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Sudden Wall,150,iterations,GA,PSO,6177.0,0.00403735513866709,0.0042872071383184066,0.23540000000000005,100,100,
Sudden Wall,150,iterations,GA,ACO,6571.5,0.0001233524343788507,0.0007401146062731043,0.3143,100,100,
Sudden Wall,150,iterations,PSO,ACO,6422.0,0.0005137696339229513,0.0025688481696147566,0.2844,100,100,
Sudden Wall,150,diversity_floor,GA,PSO,115.0,7.800458168487283e-33,1.4820870520125838e-31,-0.977,100,100,
Sudden Wall,150,diversity_floor,GA,ACO,289.0,1.1804142833433691e-30,1.8886628533493906e-29,-0.9422,100,100,
Sudden Wall,150,diversity_floor,PSO,ACO,6093.0,0.007598636266967752,0.03039454506787101,0.2185999999999999,100,100,
Sudden Wall,150,mean_entropy,GA,PSO,1704.0,8.1326803220797795e-16,3.2530721288319118e-15,-0.6592,100,100,
Sudden Wall,150,mean_entropy,GA,ACO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Sudden Wall,150,mean_entropy,PSO,ACO,1104.0,1.7616827122332018e-21,1.057009627339921e-20,-0.7792,100,100,
Sudden Wall,150,path_optimality,GA,PSO,3250.0,1.0,1.0,0.0,65,100,
Sudden Wall,150,path_optimality,GA,ACO,3250.0,1.0,1.0,0.0,65,100,
Sudden Wall,150,path_optimality,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Sudden Wall,150,time_to_half_entropy,GA,PSO,,,,,49,2,insufficient n
Sudden Wall,150,time_to_half_entropy,GA,ACO,,,,,49,0,insufficient n
Sudden Wall,150,time_to_half_entropy,PSO,ACO,,,,,2,0,insufficient n
